壁画 | mural | へきが | 壁画を修復する。 | Restore a mural. | 壁画作品 |  | 
紛らす | distract, divert | まぎらす | 悲しみを紛らす。 | Distract from sadness. | 気を紛らす | 紛らす（まぎらす） means: ⏎  ⏎ to distract (yourself or someone), to take one's mind off, to relieve, or to ease an unpleasant feeling by diverting attention. ⏎  ⏎ The core image comes from 紛れる（まぎれる）, "to become mixed in with something else." So 紛らす is like mixing an unpleasant feeling into other thoughts or activities so it becomes less noticeable. ⏎  ⏎ 1. To take your mind off something (most common) ⏎ 気を紛らす ⏎  ⏎ → to take your mind off something ⏎  ⏎ 音楽を聴いて気を紛らした。 ⏎ → I listened to music to take my mind off it. ⏎ 散歩をして気を紛らす。 ⏎ → Go for a walk to distract yourself. ⏎  ⏎ This is one of the most common collocations. ⏎  ⏎ 2. To ease an unpleasant emotion ⏎ 寂しさを紛らす ⏎ → ease loneliness ⏎ 悲しみを紛らす ⏎ → distract yourself from grief ⏎ 不安を紛らす ⏎ → take your mind off your anxiety ⏎ ストレスを紛らす ⏎ → relieve stress ⏎  ⏎ Example: ⏎  ⏎ 仕事に集中して不安を紛らした。 ⏎ → I focused on work to take my mind off my anxiety. ⏎ 3. To dull pain ⏎ 痛みを紛らす ⏎ → relieve or distract from pain ⏎  ⏎ Example: ⏎  ⏎ 冷やして痛みを紛らす。 ⏎ → Cool it to ease the pain. ⏎  ⏎ This means the pain isn't necessarily gone—it's just less noticeable. ⏎  ⏎ 4. To pass the time ⏎ 暇を紛らす ⏎ → pass the time ⏎  ⏎ Example: ⏎  ⏎ 本を読んで暇を紛らした。 ⏎ → I read a book to pass the time. | 
逸らす | divert, turn away | そらす | 視線を逸らす。 | Turn one’s gaze away. | 注意を逸らす | 逸らす（そらす） means: ⏎  ⏎ to turn away, to divert, to avert, or to shift away. ⏎  ⏎ The core idea is: ⏎  ⏎ to intentionally move something away from its current target or direction. ⏎  ⏎ It can refer to eyes, attention, conversation, responsibility, etc. ⏎  ⏎ 1. To avert one's eyes (most common) ⏎ 目を逸らす ⏎ → avert one's eyes ⏎ → look away ⏎ Examples ⏎ 彼は私から目を逸らした。 ⏎ → He looked away from me. ⏎ 恥ずかしくて目を逸らした。 ⏎ → I looked away because I was embarrassed. ⏎  ⏎ This is by far the most common use. ⏎  ⏎ 2. To divert attention ⏎ 注意を逸らす ⏎ → distract someone's attention ⏎ Example ⏎ 話題を変えて注意を逸らした。 ⏎ → He changed the subject to divert everyone's attention. ⏎ 3. To evade or avoid (figurative) ⏎ 責任から目を逸らす ⏎ → turn a blind eye to one's responsibilities ⏎ 現実から目を逸らす ⏎ → turn away from reality ⏎  ⏎ Examples: ⏎  ⏎ 現実から目を逸らしてはいけない。 ⏎ → You shouldn't turn away from reality. ⏎ 問題から目を逸らす。 ⏎ → Avoid facing the problem. ⏎ 4. To deflect ⏎ 攻撃を逸らす ⏎ → deflect an attack ⏎  ⏎ This is common in martial arts, sports, and action scenes. | 
費やす | spend, devote | ついやす | 時間を費やす。 | Spend time. | 労力を費やす | 費やす（ついやす） means: ⏎  ⏎ to spend, to devote, or to expend (time, money, effort, energy, etc.). ⏎  ⏎ The key nuance is: ⏎  ⏎ using up a valuable resource for a particular purpose. ⏎  ⏎ It's a more formal and emphatic word than just 使う ("to use"). ⏎  ⏎ 1. Spend time (very common) ⏎ 時間を費やす ⏎ → spend time ⏎ Examples ⏎ このプロジェクトに3年を費やした。 ⏎ → I spent three years on this project. ⏎ 勉強に多くの時間を費やす。 ⏎ → Spend a lot of time studying. ⏎ 2. Spend money ⏎ 多額の費用を費やす ⏎ → spend a large amount of money ⏎  ⏎ Example: ⏎  ⏎ 新しい設備に数億円を費やした。 ⏎ → They spent hundreds of millions of yen on new equipment. ⏎ 3. Devote effort or energy ⏎ 努力を費やす ⏎ → devote effort ⏎ 精力を費やす ⏎ → devote one's energy ⏎  ⏎ Examples: ⏎  ⏎ 彼は研究に人生を費やした。 ⏎ → He devoted his life to research. ⏎ 問題解決に多くの労力を費やした。 ⏎ → We devoted a great deal of effort to solving the problem. ⏎ Common collocations ⏎  ⏎ You'll frequently see: ⏎  ⏎ 時間を費やす ⏎ → spend time ⏎ 人生を費やす ⏎ → devote one's life ⏎ 労力を費やす ⏎ → expend effort ⏎ 費用を費やす ⏎ → spend money ⏎ エネルギーを費やす ⏎ → expend energy ⏎ 資源を費やす ⏎ → consume resources ⏎ Difference from 使う ⏎ 使う ⏎  ⏎ General "use." ⏎  ⏎ お金を使う。 ⏎ → Use/spend money. ⏎ 時間を使う。 ⏎ → Use time. ⏎ 費やす ⏎  ⏎ Suggests: ⏎  ⏎ a large amount ⏎ deliberate investment ⏎ consumption of valuable resources ⏎  ⏎ Compare: ⏎  ⏎ 2時間使った。 ⏎ → I used/spent two hours. ⏎ 2時間を費やした。 ⏎ → I devoted two hours (emphasizing the investment of time). | 
凝らす | concentrate, apply | こらす | 工夫を凝らす。 | Apply ingenuity. | 目を凝らす | 凝らす（こらす） means: ⏎  ⏎ to concentrate, to apply intensely, to devote, or to use to the fullest (one's senses, thoughts, ingenuity, etc.). ⏎  ⏎ The core idea is: ⏎  ⏎ to focus your mental effort or ability intensely on something. ⏎  ⏎ Common pattern ⏎  ⏎ ○○を凝らす ⏎  ⏎ This is almost always how it's used. ⏎  ⏎ 1. 頭を凝らす ⏎  ⏎ → rack one's brains ⏎  ⏎ 頭を凝らして考えた。 ⏎ → I thought long and hard. ⏎ 2. 工夫を凝らす ⏎  ⏎ One of the most common expressions. ⏎  ⏎ → devise ingenious ideas ⏎ → use a lot of ingenuity ⏎  ⏎ 工夫を凝らしたデザイン ⏎ → an ingeniously designed product ⏎ 様々な工夫を凝らす。 ⏎ → Put a lot of thought into improving something. ⏎ 3. 趣向を凝らす ⏎  ⏎ → use creative ideas ⏎ → be elaborate and inventive ⏎  ⏎ 趣向を凝らしたイベント ⏎ → a creatively designed event ⏎ 4. 心を凝らす ⏎  ⏎ → devote one's heart ⏎ → concentrate deeply ⏎  ⏎ This is more literary. | 
荒らす | damage, devastate | あらす | 畑を荒らす。 | Ruin a field. | 荒らされた | 荒らす（あらす） means: ⏎  ⏎ to damage, to devastate, to ravage, or to make a mess of. ⏎  ⏎ The core idea is: ⏎  ⏎ to leave something in a damaged, ruined, or disordered state. ⏎  ⏎ It can refer to nature, places, property, or even online communities. ⏎  ⏎ 1. To ravage or devastate (nature) ⏎  ⏎ Very common in news. ⏎  ⏎ 台風が町を荒らした。 ⏎ → The typhoon devastated the town. ⏎ 害虫が畑を荒らす。 ⏎ → Pests ravage the fields. ⏎ 2. To ransack or burglarize ⏎ 泥棒が家を荒らした。 ⏎ → A burglar ransacked the house. ⏎ 部屋を荒らす。 ⏎ → Trash a room / leave it in a mess. ⏎  ⏎ Here the emphasis is that the place is left in disorder. ⏎  ⏎ 3. To ruin or disturb (figurative) ⏎ 場を荒らす。 ⏎ → Ruin the atmosphere. ⏎ 試合を荒らす。 ⏎ → Disrupt the game. ⏎ 4. Internet slang: to troll or spam ⏎  ⏎ This is an extremely common modern use. ⏎  ⏎ 掲示板を荒らす。 ⏎ → Troll/spam a message board. ⏎ コメント欄を荒らす。 ⏎ → Flood the comments with disruptive posts. ⏎  ⏎ The noun is: ⏎  ⏎ 荒らし（あらし） ⏎ → troll (internet) ⏎  ⏎ Examples: ⏎  ⏎ 荒らしは無視しましょう。 ⏎ → Let's ignore the trolls. ⏎ チャットが荒らされた。 ⏎ → The chat was trolled. | 
傷心 | heartbreak | しょうしん | 傷心の彼を励ます。 | Encourage someone heartbroken. | 傷心旅行 |  | 
励ます | encourage | はげます | 友人を励ます。 | Encourage a friend. | 激励 |  | 
冷ます | cool down | さます | スープを冷ます。 | Cool the soup. | 熱を冷ます |  | 
滅ぶ | perish | ほろぶ | 種が滅ぶ。 | A species perishes. | 絶滅 |  | 
弾む | bounce, be lively | はずむ | 声が弾む。 | Voice becomes lively. | 話が弾む |  | 
話が弾む | conversation flows | はなしがはずむ | 話が弾んだ。 | The conversation flowed. | 弾む会話 | 弾む（はずむ） has a literal meaning and several figurative ones. The core image is: ⏎  ⏎ to bounce ⏎  ⏎ From that image, it developed meanings like to become lively, to rise, or to increase. ⏎  ⏎ 1. To bounce (literal) ⏎ ボールが弾む。 ⏎ → The ball bounces. ⏎ ゴムはよく弾む。 ⏎ → Rubber bounces well. ⏎ 2. To become lively or animated (very common) ⏎  ⏎ This is probably the most common figurative use. ⏎  ⏎ 話が弾む ⏎  ⏎ → The conversation becomes lively. ⏎  ⏎ 久しぶりに会って話が弾んだ。 ⏎ → We hadn't seen each other in a long time, so the conversation really flowed. ⏎ 会話が弾む ⏎  ⏎ → The conversation is animated. ⏎  ⏎ 3. To be in high spirits ⏎ 心が弾む ⏎  ⏎ → One's heart leaps with joy. ⏎ → Feel excited. ⏎  ⏎ 旅行の話を聞くと心が弾む。 ⏎ → Hearing about the trip makes me excited. ⏎  ⏎ This has a positive, cheerful nuance. ⏎  ⏎ 4. To increase or become more expensive ⏎ 値段が弾む ⏎  ⏎ → The price goes up. ⏎  ⏎ いい魚は値段が弾む。 ⏎ → Good fish costs more. ⏎ チップを弾む ⏎  ⏎ This is a common expression: ⏎  ⏎ → Give a generous tip. ⏎ → Be generous with money. ⏎  ⏎ タクシー運転手にチップを弾んだ。 ⏎ → I gave the taxi driver a generous tip. | 
歪む | distort, warp | ゆがむ | 形が歪む。 | The shape warps. | 歪み |  | 
軽はずみ | rash, careless | かるはずみ | 軽はずみな行動。 | Rash behavior. | 軽はずみな発言 |  | 
妬む | envy | ねたむ | 成功を妬む。 | Envy success. | 嫉妬 |  | 
励む | strive | はげむ | 勉強に励む。 | Work hard at studying. | 努力に励む |  | 
挑む | challenge | いどむ | 記録に挑む。 | Challenge a record. | 挑戦 | 挑む（いどむ） means: ⏎  ⏎ to challenge, to take on, to confront, or to tackle something difficult. ⏎  ⏎ The key nuance is: ⏎  ⏎ You deliberately face something difficult, dangerous, or demanding. ⏎  ⏎ It often implies courage, determination, and a worthy challenge. ⏎  ⏎ 1. Challenge an opponent ⏎ 強敵に挑む ⏎ → challenge a formidable opponent ⏎ 世界王者に挑む ⏎ → challenge the world champion ⏎ Example ⏎ 日本代表は前回王者に挑む。 ⏎ → Japan will take on the defending champion. ⏎ 2. Tackle a difficult task ⏎ 難題に挑む ⏎ → tackle a difficult problem ⏎ 新技術の開発に挑む ⏎ → take on the challenge of developing new technology ⏎ Example ⏎ 彼は新しいプロジェクトに挑んだ。 ⏎ → He took on a new project. ⏎ 3. Attempt something ambitious ⏎ エベレスト登頂に挑む ⏎ → attempt to climb Mount Everest ⏎ 記録更新に挑む ⏎ → go for a new record | 
戦いを挑む | challenge to a fight | たたかいをいどむ | 相手に戦いを挑む。 | Challenge an opponent. | 挑戦状 |  | 
組む | team up, assemble | くむ | 彼とチームを組む。 | Team up with him. | 組み合わせ |  | 
拝む | worship, beg | おがむ | 神を拝む。 | Worship a deity. | 合掌 |  | 
大自然 | great nature | だいしぜん | 大自然を満喫する。 | Enjoy nature. | 大自然の恵み |  | 
営まれた | conducted, carried out | いとなまれた | 伝統行事が営まれた。 | A traditional event was held. | 営む | 営む（いとなむ） is a formal verb meaning: ⏎  ⏎ to run, to conduct, to carry on, or to engage in. ⏎  ⏎ The core idea is: ⏎  ⏎ to continue or carry out an activity that forms part of life, work, or society. ⏎  ⏎ It's common in news articles, business writing, literature, and official documents. ⏎  ⏎ 1. To run or operate a business (most common) ⏎ 会社を営む ⏎ → run a company ⏎ 店を営む ⏎ → run a shop ⏎ 農業を営む ⏎ → engage in farming ⏎ Examples ⏎ 彼は小さなレストランを営んでいる。 ⏎ → He runs a small restaurant. ⏎ 家族で旅館を営んでいる。 ⏎ → They run a traditional inn as a family. ⏎ 2. To lead or live a certain kind of life ⏎ 生活を営む ⏎ → lead a life ⏎ → make a living ⏎ Examples ⏎ 彼らは山で生活を営んでいる。 ⏎ → They make their living in the mountains. ⏎ 人々は昔からこの土地で生活を営んできた。 ⏎ → People have lived and made their living in this area for generations. ⏎ 3. To carry on an activity ⏎  ⏎ Used for occupations or long-term activities. ⏎  ⏎ 漁業を営む ⏎ → engage in fishing ⏎ 林業を営む ⏎ → engage in forestry ⏎ 商売を営む ⏎ → run a business | 
発された | issued, emitted | はっされた | 声が発された。 | A voice was emitted. | 発言が発される |  | 
踏まえられた | based on | ふまえられた | データを踏まえられた判断。 | A decision based on data. | 踏まえる |  | 
育まれた | nurtured | はぐくまれた | 友情が育まれた。 | Friendship was nurtured. | 育む | 育まれた（はぐくまれた） is the past passive form of 育む（はぐくむ）. ⏎  ⏎ It means: ⏎  ⏎ was nurtured, was fostered, was cultivated, or grew over time. ⏎  ⏎ The nuance is gradual, careful development. ⏎  ⏎ The verb: 育む（はぐくむ） ⏎  ⏎ 育む means: ⏎  ⏎ to nurture ⏎ to foster ⏎ to cultivate ⏎ to bring up carefully ⏎  ⏎ It emphasizes supporting something's growth over a long period, whether it's a child, a relationship, a culture, or an ability. ⏎  ⏎ 育まれた = "was nurtured" ⏎  ⏎ Examples: ⏎  ⏎ 愛情に育まれた子ども ⏎  ⏎ → a child raised with love ⏎  ⏎ 長い歴史の中で育まれた文化 ⏎  ⏎ → a culture nurtured over a long history ⏎  ⏎ 信頼関係が育まれた ⏎  ⏎ → a relationship of trust was built/cultivated ⏎  ⏎ 地域で育まれた伝統 ⏎  ⏎ → traditions that have been nurtured within the community ⏎  ⏎ Why the passive? ⏎  ⏎ Japanese often uses the passive to describe how something came to exist. ⏎  ⏎ For example: ⏎  ⏎ 長い年月をかけて育まれた文化 ⏎  ⏎ Literally: ⏎  ⏎ "A culture that was nurtured over many years." ⏎  ⏎ This doesn't necessarily emphasize who nurtured it. The focus is on the result—the culture gradually developed. ⏎  ⏎ Difference from 育てられた ⏎  ⏎ Both can translate as "raised," but the nuance differs. ⏎  ⏎ 育てられた（そだてられた） ⏎  ⏎ Focuses on being raised or brought up by someone. ⏎  ⏎ 親に育てられた。 ⏎ → I was raised by my parents. ⏎ 育まれた ⏎  ⏎ Focuses on gradual nurturing and development. ⏎  ⏎ 信頼が育まれた。 ⏎ → Trust was cultivated. ⏎ 文化が育まれた。 ⏎ → Culture was nurtured over time. ⏎  ⏎ You usually don't say: ⏎  ⏎ ❌ 親に育まれた ⏎  ⏎ Instead: ⏎  ⏎ ✅ 親に育てられた ⏎  ⏎ because 育む is more about fostering growth, while 育てる is the ordinary verb for raising a child. ⏎  ⏎ Common collocations ⏎  ⏎ You'll often see: ⏎  ⏎ 愛情に育まれる ⏎ → be nurtured by love ⏎ 自然に育まれる ⏎ → be nurtured by nature ⏎ 文化が育まれる ⏎ → culture develops ⏎ 信頼が育まれる ⏎ → trust is built ⏎ 絆が育まれる ⏎ → bonds are strengthened ⏎ 豊かな感性が育まれる ⏎ → rich sensitivity is cultivated | 
危ぶんで | fear, worry | あやぶんで | 成功を危ぶんでいた。 | Worried about success. | 危ぶむ |  | 
好んで | willingly | このんで | 辛い料理を好んで食べる。 | Eat spicy food willingly. | 好んで～する |  | 
馴染んで | get used to | なじんで | 仕事に馴染んでいる。 | Getting used to the job. | 馴染む |  | 
目論んで | scheme, plan | もくろんで | 彼は成功を目論んでいる。 | He is plotting success. | 目論見 |  | 
富む | be rich in | とむ | 自然に富む地域。 | A region rich in nature. | 富んだ |  | 
拒む | refuse | こばむ | 要求を拒む。 | Refuse a request. | 拒否 |  | 
和む | relax, calm | なごむ | 雰囲気が和む。 | The atmosphere softens. | 和み |  | 
