好奇心 | curiosity | こうきしん | 好奇心が旺盛だ | He is very curious | 好奇心を〜 |  | Positive nuance
押し寄せて | flood in | おしよせて | 人々が押し寄せてきた | People flooded in |  | 押し寄せた（おしよせた） is the past tense of 押し寄せる（おしよせる）. ⏎  ⏎ Its core meaning is: ⏎  ⏎ to surge in ⏎ to come rushing in ⏎ to flood in ⏎ to wash over ⏎  ⏎ The image is of a large force moving toward something all at once, like waves or a crowd. ⏎  ⏎ 1. Literal meaning ⏎ Waves ⏎ 波が岸に押し寄せた。 ⏎ → Waves crashed onto the shore. ⏎ Crowds ⏎ ファンが会場に押し寄せた。 ⏎ → Fans flooded into the venue. ⏎ 人々が店に押し寄せた。 ⏎ → People rushed to the store. ⏎ 2. Figurative meaning (very common) ⏎  ⏎ It is often used for emotions or thoughts that come suddenly and intensely. ⏎  ⏎ 不安が押し寄せた。 ⏎  ⏎ A wave of anxiety washed over me. ⏎  ⏎ 悲しみが押し寄せた。 ⏎  ⏎ A wave of sadness came over me. ⏎  ⏎ 記憶が押し寄せた。 ⏎  ⏎ Memories came flooding back. ⏎  ⏎ 孤独感が押し寄せた。 ⏎  ⏎ A feeling of loneliness washed over me. ⏎  ⏎ Example sentences ⏎ ニュースを聞いた瞬間、不安が押し寄せた。 ⏎  ⏎ The moment I heard the news, a wave of anxiety washed over me. ⏎  ⏎ 卒業式では思い出が押し寄せてきた。 ⏎  ⏎ At the graduation ceremony, memories came flooding back. ⏎  ⏎ 大雨で川の水が押し寄せた。 ⏎  ⏎ River water surged in because of the heavy rain. | Emotional/physical
張りきった | enthusiastic | はりきった | 張りきって仕事する | Work with enthusiasm |  |  | Positive
言い張った | insisted | いいはった | 自分の意見を言い張った | Insisted on his opinion |  |  | Stubborn nuance
言いふらした | spread (rumors) | いいふらした | 噂を言いふらした | Spread rumors |  |  | Negative
食い込んで | dig into; encroach | くいこんで | 仕事が私生活に食い込んでいる | Work is encroaching on private life |  |  | Negative nuance
打ち込んで | devote to | うちこんで | 研究に打ち込んでいる | Devoted to research |  |  | Deep focus
引き止める | stop; detain | ひきとめる | 友人を引き止める | Stop a friend from leaving |  |  | Emotional nuance
食い止める | prevent; stop | くいとめる | 拡大を食い止める | Prevent expansion |  |  | Crisis contexts
取りとめる | collect; gather | とりとめる | 取りとめのない話 | Rambling talk |  | 取り留める（とりとめる） is a somewhat literary verb with two main meanings. ⏎  ⏎ The most common meaning is found in the expression 命を取り留める. ⏎  ⏎ 1. 命を取り留める ⭐⭐⭐ (by far the most common) ⏎  ⏎ to survive ⏎ to stay alive ⏎ to pull through ⏎  ⏎ This is almost always used after a serious accident, illness, or injury. ⏎  ⏎ Examples ⏎ 一命を取り留めた。 ⏎ → He survived. ⏎ → He pulled through. ⏎ 幸い命を取り留めた。 ⏎ → Fortunately, she survived. ⏎ 重傷を負ったが、命は取り留めた。 ⏎ → He was seriously injured, but he survived. ⏎  ⏎ This is a very common expression in news reports. ⏎  ⏎ 2. To retain / keep from being lost (less common) ⏎  ⏎ The literal meaning is: ⏎  ⏎ to keep hold of ⏎ to preserve ⏎ to retain ⏎  ⏎ You'll see it in more literary writing. ⏎  ⏎ Example: ⏎  ⏎ 面影を取り留める。 ⏎ → Retain the traces of one's former appearance. ⏎ Related expression: 取り留めのない ⏎  ⏎ You may actually encounter this more often than the verb itself. ⏎  ⏎ 取り留めのない話 ⏎  ⏎ a rambling conversation ⏎ a conversation with no clear point ⏎  ⏎ 取り留めもなく話す ⏎  ⏎ to chat aimlessly ⏎ to talk without any particular direction ⏎  ⏎ Examples: ⏎  ⏎ 二人は取り留めのない話を続けた。 ⏎ → The two continued chatting about nothing in particular. ⏎ 取り留めもなく昔話をした。 ⏎ → We reminisced without any particular direction. ⏎  ⏎ Here, 取り留め refers to something that is held together or has a clear point. So 取り留めのない literally means "without anything holding it together," i.e., rambling or aimless. | Often negative
突き止める | pinpoint; identify | つきとめる | 原因を突き止める | Identify the cause |  |  | Investigative nuance
拡大を食い止める | stop expansion | かくだいをくいとめる | 感染拡大を食い止める | Stop the spread |  | 食い止める（くいとめる） means: ⏎  ⏎ to stop, to prevent, to hold back, or to stem something from progressing further. ⏎  ⏎ It is commonly used when something negative is spreading, advancing, or getting worse, and you manage to stop or limit it. ⏎  ⏎ Core nuance ⏎  ⏎ Think of 食い止める as: ⏎  ⏎ to halt the advance of something undesirable. ⏎  ⏎ It often implies that the problem has already started, and you're trying to prevent it from getting any worse. ⏎  ⏎ Examples ⏎ 被害の拡大を食い止める。 ⏎  ⏎ Prevent the damage from spreading. ⏎  ⏎ 感染の拡大を食い止める。 ⏎  ⏎ Stop the spread of an infection. ⏎  ⏎ 物価の上昇を食い止める。 ⏎  ⏎ Curb rising prices. ⏎  ⏎ 売上の減少を食い止める。 ⏎  ⏎ Stop the decline in sales. ⏎  ⏎ 戦火の拡大を食い止めようとした。 ⏎  ⏎ They tried to prevent the war from escalating. | News term
試行錯誤 | trial and error | しこうさくご | 試行錯誤を重ねる | Repeated trial and error |  |  | Academic
繰り上げた | moved up | くりあげた | 日程を繰り上げた | Moved the schedule up |  |  | Formal
取り付いた | latched onto | とりついた | 悪魔が取り付いた | A demon possessed |  |  | Also metaphorical
切り出す | broach a topic | きりだす | 話を切り出す | Bring up a topic |  | 切り出す（きりだす） has several meanings, but the two most common are: ⏎  ⏎ to bring up (a topic) ⏎ to cut out / cut from (literal) ⏎  ⏎ The figurative meaning ("bring up a topic") is extremely common in everyday Japanese. ⏎  ⏎ 1. To bring up a topic ⭐⭐⭐ (most common) ⏎  ⏎ This means: ⏎  ⏎ to start talking about something, especially something important, difficult, or sensitive. ⏎  ⏎ Examples ⏎ 彼は突然、本題を切り出した。 ⏎ → He suddenly brought up the main topic. ⏎ なかなか別れ話を切り出せなかった。 ⏎ → I couldn't bring myself to bring up the subject of breaking up. ⏎ 上司に退職の話を切り出した。 ⏎ → I brought up the topic of resigning with my boss. ⏎ どうやってその話を切り出せばいい？ ⏎ → How should I bring up that topic? | Sensitive nuance
投げ出す | abandon; throw away | なげだす | 仕事を投げ出す | Abandon work |  | 投げ出す（なげだす） has both a literal and a very common figurative meaning. ⏎  ⏎ The figurative meaning is especially important: ⏎  ⏎ to give up ⏎ to abandon ⏎ to quit halfway ⏎ to throw in the towel ⏎  ⏎ It often implies walking away from a responsibility, task, or problem before it's finished. ⏎  ⏎ 1. Literal meaning ⏎ 投げ出す ⏎  ⏎ → to throw something out ⏎  ⏎ 窓から荷物を投げ出した。 ⏎ → He threw the luggage out the window. ⏎  ⏎ This literal meaning exists, but it's much less common than the figurative one. ⏎  ⏎ 2. Figurative meaning (very common) ⏎  ⏎ to abandon ⏎ to quit halfway ⏎ to give up on something ⏎  ⏎ Examples ⏎ 仕事を投げ出す。 ⏎ → Abandon your work. ⏎ 勉強を投げ出した。 ⏎ → Give up studying. ⏎ 責任を投げ出す。 ⏎ → Abandon one's responsibilities. ⏎ 問題を投げ出す。 ⏎ → Walk away from a problem. | Negative
差し出す | hand over | さしだす | 手を差し出す | Extend a hand |  |  | Polite/formal
見出す | discover; find | みいだす | 価値を見出す | Find value |  |  | Academic
打ち切られた | discontinued | うちきられた | 支援が打ち切られた | Support was cut off |  |  | Abrupt ending
打ち込まれた | driven in; devoted | うちこまれた | 釘が打ち込まれた | A nail was driven in |  | 打ち込む（うちこむ） is a very versatile verb with several common meanings. The correct meaning depends on the context. ⏎  ⏎ The two most important meanings are: ⏎  ⏎ to devote oneself to something ⭐ ⏎ to input/type something ⭐ ⏎ 1. To devote oneself to something (very common) ⏎  ⏎ This means: ⏎  ⏎ to throw oneself into ⏎ to dedicate oneself to ⏎ to immerse oneself in ⏎  ⏎ Examples ⏎ 仕事に打ち込む。 ⏎ → Devote oneself to one's work. ⏎ 勉強に打ち込む。 ⏎ → Throw oneself into studying. ⏎ 趣味に打ち込む。 ⏎ → Be deeply absorbed in a hobby. ⏎ 野球に打ち込んできた。 ⏎ → I've devoted myself to baseball. ⏎ Example sentence ⏎ 彼は研究に打ち込んでいる。 ⏎ → He is completely devoted to his research. ⏎ 2. To input / type ⏎  ⏎ Very common in computers and smartphones. ⏎  ⏎ パスワードを打ち込む。 ⏎ → Type in a password. ⏎ 数字を打ち込む。 ⏎ → Enter the numbers. ⏎ データを打ち込む。 ⏎ → Input data. ⏎ 3. To drive or hammer into ⏎  ⏎ Literal meaning. ⏎  ⏎ くぎを打ち込む。 ⏎ → Hammer in a nail. ⏎ 杭を打ち込む。 ⏎ → Drive a stake into the ground. ⏎ 4. To hit into (sports) ⏎ ボールを打ち込む。 ⏎ → Hit the ball hard into... ⏎ Difference from 頑張る ⏎ 頑張る ⏎  ⏎ → work hard ⏎  ⏎ General. ⏎  ⏎ 打ち込む ⏎  ⏎ → become completely absorbed in something ⏎  ⏎ Much stronger. ⏎  ⏎ Compare: ⏎  ⏎ 日本語を頑張って勉強している。 ⏎ → I'm studying Japanese hard. ⏎ 日本語の勉強に打ち込んでいる。 ⏎ → I'm fully devoted to studying Japanese. ⏎  ⏎ The second implies much deeper commitment. ⏎  ⏎ Difference from 熱中する ⏎  ⏎ Both are similar. ⏎  ⏎ 熱中する ⏎  ⏎ → be absorbed in ⏎  ⏎ Focuses on enjoyment and concentration. ⏎  ⏎ ゲームに熱中する。 ⏎ → Become absorbed in games. ⏎ 打ち込む ⏎  ⏎ → devote oneself ⏎  ⏎ Often emphasizes effort and commitment. ⏎  ⏎ 仕事に打ち込む。 ⏎ → Dedicate oneself to work. | Physical or metaphorical
思い上がる | be conceited | おもいあがる | 思い上がった態度 | Arrogant attitude |  | 思い上がる（おもいあがる） means: ⏎  ⏎ to become arrogant ⏎ to get conceited ⏎ to become full of oneself ⏎ to think too highly of oneself ⏎  ⏎ It has a strongly negative nuance. ⏎  ⏎ Core meaning ⏎  ⏎ The verb literally combines: ⏎  ⏎ 思う = to think ⏎ 上がる = to rise ⏎  ⏎ So the image is: ⏎  ⏎ "Your opinion of yourself rises too high." ⏎  ⏎ In other words: ⏎  ⏎ You overestimate yourself or your abilities. ⏎  ⏎ Examples ⏎ 成功して思い上がってしまった。 ⏎  ⏎ He became conceited after succeeding. ⏎  ⏎ 思い上がるな！ ⏎  ⏎ Don't get so full of yourself! ⏎ Don't be so arrogant! ⏎  ⏎ This is a common phrase. ⏎  ⏎ 彼は自分は特別だと思い上がっている。 ⏎  ⏎ He arrogantly thinks he's special. ⏎  ⏎ 思い上がった態度 ⏎  ⏎ an arrogant attitude ⏎  ⏎ 若い頃は思い上がっていた。 ⏎  ⏎ I was conceited when I was younger. ⏎  ⏎ Difference from 自信がある ⏎ 自信がある ⏎  ⏎ → to be confident ⏎  ⏎ Positive or neutral. ⏎  ⏎ 彼は自分に自信がある。 ⏎ → He is confident. ⏎ 思い上がる ⏎  ⏎ → to be overconfident or conceited ⏎  ⏎ Negative. ⏎  ⏎ 彼は思い上がっている。 ⏎ → He thinks far too highly of himself. | Negative
打ち明けられた | was confessed | うちあけられた | 悩みを打ち明けられた | Someone confided in me |  |  | Emotional
仕切られた | partitioned; managed | しきられた | 部屋が仕切られた | The room was partitioned |  |  | Also “managed by”
困難に立ち向かう | face difficulties | こんなんにたちむかう | 困難に立ち向かう姿勢 | Attitude of facing difficulties |  |  | Positive
張り裂ける | burst; tear apart | はりさける | 胸が張り裂ける思い | Heartbreaking feeling |  | 張り裂ける（はりさける） means: ⏎  ⏎ to burst ⏎ to split open from being stretched ⏎ to feel like one's heart will burst (figuratively) ⏎  ⏎ It can be used both literally and figuratively, but the figurative use is much more common. ⏎  ⏎ 1. Literal meaning ⏎  ⏎ Something is stretched so tightly that it bursts or tears apart. ⏎  ⏎ Examples ⏎ 風船が張り裂けた。 ⏎ → The balloon burst. ⏎ 袋が張り裂けそうだ。 ⏎ → The bag looks like it's about to split open. ⏎ 2. Figurative meaning (very common) ⏎  ⏎ It describes extremely intense emotions, as if your heart is stretched to its limit. ⏎  ⏎ 胸が張り裂ける ⏎  ⏎ My heart feels like it's going to burst. ⏎  ⏎ Usually from: ⏎  ⏎ grief ⏎ sadness ⏎ emotional pain ⏎ longing ⏎  ⏎ Examples: ⏎  ⏎ 悲しみで胸が張り裂けそうだった。 ⏎ → My heart felt like it would burst from sadness. ⏎ 子どもを失い、胸が張り裂ける思いだった。 ⏎ → After losing her child, she felt as though her heart would break. ⏎ 彼の話を聞いて胸が張り裂けそうになった。 ⏎ → Hearing his story made my heart feel like it would break. ⏎ Common expressions ⏎ 胸が張り裂けそう ⏎  ⏎ My heart feels like it's breaking. ⏎  ⏎ 張り裂けるような悲しみ ⏎  ⏎ Heart-rending sorrow ⏎  ⏎ 張り裂けんばかりの声 ⏎  ⏎ A voice so loud or emotional it seemed ready to burst. | Emotional
あくどく | viciously; maliciously | あくどく | あくどいやり方 | Malicious method |  |  | Strongly negative
しぶとく | stubbornly; persistently | しぶとく | しぶとく生き残る | Survive stubbornly |  |  | Positive or negative
潔い | graceful; manly | いさぎよい | 潔く謝る | Apologize gracefully |  |  | Positive
潔く身を引いた | withdrew gracefully | いさぎよくみをひいた | 彼は潔く身を引いた | He stepped back gracefully |  |  | Mature nuance
身を引く | withdraw | みをひく | 争いから身を引く | Withdraw from conflict |  |  | Neutral
淡い | faint; light | あわい | 淡い期待 | Faint hope |  |  | Emotional nuance
ゆるい | loose; lax | ゆるい | 規則がゆるい | Rules are lax |  |  | Negative or neutral
拙い | clumsy; poor | つたない | 拙い文章 | Poor writing |  |  | Humble tone
脆い | fragile | もろい | 脆い関係 | Fragile relationship |  |  | Emotional or physical
快く | willingly; pleasantly | こころよく | 快く引き受ける | Accept willingly |  |  | Positive
尊く | precious; noble | とうとく | 尊く感じる | Feel something is precious |  |  | Spiritual nuance
手厚い | generous; warm | てあつい | 手厚い支援 | Generous support |  |  | Positive
手ぬるい | too lenient | てぬるい | 手ぬるい対応 | Too soft a response |  | 手ぬるい（てぬるい） is an adjective that means: ⏎  ⏎ too lenient ⏎ too soft ⏎ not strict enough ⏎ not forceful enough ⏎ half-hearted ⏎  ⏎ The core nuance is: ⏎  ⏎ The response or action isn't strong enough for the situation. ⏎  ⏎ Origin ⏎  ⏎ Literally: ⏎  ⏎ 手 = hand ⏎ ぬるい = lukewarm ⏎  ⏎ Originally, it referred to something that felt lukewarm to the touch. Figuratively, it came to describe actions or measures that are not strong or decisive enough. ⏎  ⏎ Examples ⏎ 対応が手ぬるい。 ⏎  ⏎ The response is too weak. ⏎ The response isn't decisive enough. ⏎  ⏎ 処分が手ぬるい。 ⏎  ⏎ The punishment is too lenient. ⏎  ⏎ 政府の対策は手ぬるい。 ⏎  ⏎ The government's measures are too weak. ⏎  ⏎ そんなやり方では手ぬるい。 ⏎  ⏎ That approach isn't strong enough. | Negative
心強い | reassuring | こころづよい | 心強い味方 | Reassuring ally |  |  | Positive
分厚い | thick; substantial | ぶあつい | 分厚い本 | Thick book |  |  | Physical or metaphorical
大人げなく | childish (for adult) | おとなげなく | 大人げなく怒る | Act childish |  |  | Negative
あっけなく | abruptly; too easily | あっけなく | あっけなく負けた | Lost too easily |  |  | Negative
そっけなく | coldly; curtly | そっけなく | そっけなく返事する | Respond curtly |  |  | Cold tone
だらしない | sloppy; careless | だらしない | だらしない生活 | Sloppy lifestyle |  |  | Negative
情けない | pitiful; shameful | なさけない | 情けない結果 | Pathetic result |  |  | Strong negative
切ない | painful; heartrending | せつない | 切ない気持ち | Painful feeling |  |  | Emotional
