結晶 | crystal; crystallization | けっしょう | 雪が結晶になった。 | The snow formed crystals. | 氷の結晶 |  | 凝固（ぎょうこ） related, クリスタル loanword
多様性 | diversity | たようせい | 社会の多様性を尊重する。 | Respect diversity in society. | 文化的多様性 |  | バラエティー similar nuance
協調性 | cooperativeness | きょうちょうせい | 協調性が求められる。 | Cooperativeness is required. | 協調性を重視 |  | チームワーク related
一貫性 | consistency | いっかんせい | 発言に一貫性がない。 | His statements lack consistency. | 一貫性を保つ |  | 首尾一貫（しゅびいっかん） similar meaning
観覧 | viewing; watching | かんらん | 展示を観覧した。 | I viewed the exhibition. | 観覧席 |  | 見物（けんぶつ） related
監視 | monitoring; surveillance | かんし | 警備員が周囲を監視している。 | A guard is monitoring the area. | 監視カメラ |  | 見張る similar meaning
活用 | utilization | かつよう | データを活用する。 | Utilize data. | 有効活用 |  | 利用（りよう） similar meaning
閲覧 | browsing; viewing | えつらん | 資料を閲覧した。 | I viewed the documents. | 閲覧制限 |  | 閲読（えつどく） related
増進 | promotion; enhancement | ぞうしん | 健康増進のために運動する。 | Exercise to promote health. | 健康増進 |  | 向上（こうじょう） similar nuance
増強 | reinforcement; strengthening | ぞうきょう | 軍事力を増強する。 | Strengthen military power. | 体力増強 |  | 強化（きょうか） similar meaning
増築 | building extension | ぞうちく | 家を増築した。 | We extended the house. | 校舎増築 |  | 改築（かいちく） related
意向 | intention; inclination | いこう | 会社の意向を確認する。 | Confirm the company’s intention. | 意向を示す |  | 意思（いし） similar nuance
考慮 | consideration | こうりょ | 状況を考慮する。 | Consider the situation. | 十分考慮 |  | 検討（けんとう） related
選考 | selection; screening | せんこう | 応募者を選考する。 | Select applicants. | 一次選考 |  | 選抜（せんばつ） similar meaning
発明 | invention | はつめい | 新技術を発明した。 | Invented a new technology. | 発明家 |  | 考案（こうあん） related
考案 | design; devise | こうあん | 新しい方法を考案した。 | Devised a new method. | 考案者 | 考案（こうあん） means: ⏎  ⏎ to devise, to invent, to come up with, or to create an idea through thought and ingenuity. ⏎  ⏎ It is often used for: ⏎  ⏎ methods ⏎ systems ⏎ tools ⏎ products ⏎ designs ⏎ techniques ⏎ Common examples ⏎ 新しい方法を考案する ⏎ → devise a new method ⏎ この装置は彼が考案した。 ⏎ → He devised this device. ⏎ 独自のシステムを考案する ⏎ → develop an original system ⏎ Example sentences ⏎ 彼は効率的な作業手順を考案した。 ⏎ → He devised an efficient work procedure. ⏎ このゲームは日本人が考案した。 ⏎ → This game was invented/devised by a Japanese person. ⏎ 問題を解決するための新しい仕組みを考案した。 ⏎ → We came up with a new mechanism to solve the problem. ⏎ Nuance ⏎  ⏎ 考案 emphasizes: ⏎  ⏎ using thought and creativity to come up with something new. ⏎  ⏎ It often sounds more formal and intellectual than simply: ⏎  ⏎ 思いつく (to think of, have an idea) ⏎  ⏎ For example: ⏎  ⏎ いいアイデアを思いついた。 ⏎ → I came up with a good idea. ⏎ 新しい方式を考案した。 ⏎ → I devised a new method/system. ⏎ Difference from similar words ⏎ Word	Meaning	Nuance ⏎ 思いつく	think of	Idea suddenly comes to mind ⏎ 考える	think	General ⏎ 考案する	devise, invent	Create through ingenuity ⏎ 発明する（はつめい）	invent	Often technological/scientific invention | 工夫（くふう） similar nuance
ろくに | barely; hardly | ろくに | ろくに寝ていない。 | I barely slept. | ろくに〜ない |  | ほとんど〜ない similar pattern
志望校 | school of choice | しぼうこう | 志望校に合格したい。 | I want to get into my chosen school. | 第一志望校 |  | 志望（しぼう） base noun
平仮名 | hiragana | ひらがな | 平仮名を覚える。 | Learn hiragana. | 平仮名表 |  | 片仮名（かたかな） contrast
やけに | awfully; unusually | やけに | 今日はやけに静かだ。 | It’s unusually quiet today. | やけに〜だ |  | やたらに similar nuance
洪水 | flood | こうずい | 洪水が発生した。 | A flood occurred. | 洪水警報 | 洪水（こうずい） = a flood (the disaster/event) ⏎ 氾濫（はんらん） = overflowing (the act or state of spilling beyond limits) ⏎ 洪水（こうずい） ⏎  ⏎ Means: ⏎  ⏎ flood ⏎ flood disaster ⏎  ⏎ It's the event itself. ⏎  ⏎ Examples ⏎ 洪水が発生した。 ⏎ → A flood occurred. ⏎ 洪水で町が浸水した。 ⏎ → The town was flooded. ⏎ 洪水警報 ⏎ → Flood warning ⏎ 氾濫（はんらん） ⏎  ⏎ Means: ⏎  ⏎ overflow ⏎ overflowing ⏎ spreading beyond normal limits ⏎  ⏎ It's not limited to water. ⏎  ⏎ Literal ⏎ 川が氾濫する。 ⏎ → The river overflows. ⏎ 河川の氾濫 ⏎ → River overflow. ⏎  ⏎ Notice this describes what the river does, not the disaster itself. | 氾濫（はんらん） related
もろに | directly; fully | もろに | もろに影響を受けた。 | I was directly affected. | もろに食らう |  | 直接（ちょくせつ） similar meaning
むやみに | recklessly; blindly | むやみに | むやみに動くな。 | Don’t act recklessly. | むやみに〜する |  | やたらに similar nuance
とっさに | instinctively; on the spur of the moment | とっさに | とっさに避けた。 | I dodged instinctively. | とっさの判断 |  | 反射的に similar nuance
まめに | diligently; frequently | まめに | まめに掃除する。 | Clean diligently. | まめに連絡する |  | こまめに similar meaning
つくづく | deeply; truly | つくづく | つくづくそう思う。 | I truly think so. | つくづく感じる |  | 心から similar nuance
ざらに | commonly; not rare | ざらに | そんなことはざらにある。 | That happens all the time. | ざらにある話 |  | よくある similar meaning
そわそわ | restlessly; fidgety | そわそわ | 試験前でそわそわしている。 | I’m restless before the exam. | そわそわ落ち着かない |  | そわつく similar nuance
