ペンキ塗り | ぺんきぬり | painting (with paint) | 壁をペンキ塗りした。 | I painted the wall. | ペンキ塗り作業 |  | 
頂点 | ちょうてん | peak; top | 彼はキャリアの頂点に立った。 | He reached the peak of his career. | 頂点に達する |  | 
頭にインプット | あたまにインプット | input into the mind; memorize | 新しい単語を頭にインプットする。 | Input new words into your mind. | インプット作業 |  | 
重視 | じゅうし | emphasize; value | 安全を重視している。 | We prioritize safety. | 重要視 |  | 
重複 | ちょうふく | duplication; overlap | データが重複している。 | The data is duplicated. | 重複チェック |  | 
調節 | ちょうせつ | adjustment | 温度を調節する。 | Adjust the temperature. | 調節機能 | 調節（ちょうせつ） means adjustment, regulation, or fine-tuning. ⏎  ⏎ It's used when changing something so that it works better or reaches an appropriate level. ⏎  ⏎ Examples ⏎ 温度を調節する ⏎ → to adjust the temperature ⏎ 音量を調節する ⏎ → to adjust the volume ⏎ スケジュールを調節する ⏎ → to adjust/coordinate a schedule ⏎ 体の機能を調節する ⏎ → to regulate bodily functions ⏎ Difference from 調整（ちょうせい） ⏎  ⏎ These two are very similar, but: ⏎  ⏎ 調節 → adjusting the level, amount, strength, etc. of something ⏎ temperature, volume, brightness, hormone levels ⏎ 調整 → coordinating, arranging, or tuning things to work together ⏎ schedules, meetings, machine calibration, negotiations ⏎  ⏎ For example: ⏎  ⏎ エアコンの温度を調節する。 ⏎ 会議の日程を調整する。 ⏎  ⏎ In many technical contexts both can appear, but 調節 tends to focus on changing a setting, while 調整 often focuses on coordination or optimization. | 
どんよりする | どんよりする | gloomy; overcast | 空がどんよりしている。 | The sky is gloomy. | どんより曇る |  | 
感情をぶつける | かんじょうをぶつける | to vent emotions | 彼に感情をぶつけてしまった。 | I vented my emotions at him. | 感情をぶつけ合う |  | 
即座 | そくざ | immediately | 彼は即座に返事した。 | He replied immediately. | 即座の対応 |  | 
自己中心的 | じこちゅうしんてき | selfish; self‑centered | 彼は自己中心的な性格だ。 | He has a self‑centered personality. | 自己中心的な考え |  | 
加味 | かみ | take into account | 状況を加味して判断する。 | Judge while taking the situation into account. | 加味して考える |  | 
加工 | かこう | processing | 木材を加工する。 | Process the wood. | 加工食品 | 加工（かこう） means processing, working, modifying, or altering something to give it a new form, function, or appearance. ⏎  ⏎ Common uses ⏎ Manufacturing / Materials ⏎ 木材を加工する ⏎ → to process wood ⏎ 金属加工 ⏎ → metalworking ⏎ 食品加工 ⏎ → food processing ⏎  ⏎ Example: ⏎  ⏎ この工場では金属を加工して部品を作っている。 ⏎ → This factory processes metal to make parts. ⏎ Digital images / media ⏎ 写真を加工する ⏎ → to edit/retouch a photo ⏎ 画像加工アプリ ⏎ → image editing app ⏎  ⏎ Example: ⏎  ⏎ この写真はかなり加工されている。 ⏎ → This photo has been heavily edited. ⏎ Data / Information ⏎ データを加工する ⏎ → to process or transform data ⏎  ⏎ Example: ⏎  ⏎ 取得したデータを加工してレポートを作成する。 ⏎ → Process the collected data and create a report. ⏎ Difference from similar words ⏎ 加工 = modify/process something into a different form ⏎ 編集（へんしゅう） = edit text, video, audio, etc. ⏎ 修正（しゅうせい） = correct or fix something ⏎ 変換（へんかん） = convert from one format to another ⏎  ⏎ Examples: ⏎  ⏎ 木材を加工する。 ⏎ → Process wood. ⏎ 動画を編集する。 ⏎ → Edit a video. ⏎ ミスを修正する。 ⏎ → Correct a mistake. ⏎ PDFをExcelに変換する。 ⏎ → Convert a PDF to Excel. ⏎ Common phrases ⏎ 加工食品 ⏎ → processed food ⏎ 画像加工 ⏎ → image editing ⏎ 加工技術 ⏎ → processing/manufacturing technology ⏎ 加工業者 ⏎ → processing contractor/manufacturer ⏎ Nuance ⏎  ⏎ The core image of 加工 is: ⏎  ⏎ taking a raw or original thing and altering it to make it more useful, refined, or suitable for a purpose. | 
添加 | てんか | addition | 添加物を使わない。 | No additives are used. | 添加物 | As a verb ⏎ 添加する ⏎  ⏎ to add ⏎ to incorporate ⏎  ⏎ 保存料を添加する。 ⏎  ⏎ To add preservatives. ⏎  ⏎ ビタミンを添加した飲料 ⏎  ⏎ A drink with added vitamins. ⏎  ⏎ Common collocations ⏎ 食品添加物（しょくひんてんかぶつ） ⏎  ⏎ food additive | 
弁償 | べんしょう | compensation | 壊した物を弁償した。 | I compensated for the broken item. | 弁償金 |  | 
代行 | だいこう | acting on behalf; proxy | 手続きを代行する。 | Handle the procedure on someone’s behalf. | 代行サービス |  | 
代弁 | だいべん | speak for; represent | 彼の気持ちを代弁した。 | I spoke on his behalf. | 代弁者 |  | 
条例 | じょうれい | ordinance; regulation | 市の条例に従う。 | Follow the city ordinance. | 市条例 | 条例（じょうれい） means a local ordinance or local law enacted by a prefectural, municipal, or other local government in Japan. ⏎  ⏎ It is not a national law passed by the Diet. Instead, it is a rule established by a local government to address local needs. ⏎  ⏎ Examples ⏎ 条例を制定する ⏎ → to enact an ordinance ⏎ 条例を改正する ⏎ → to amend an ordinance ⏎ 東京都の条例 ⏎ → a Tokyo Metropolitan Government ordinance ⏎ 受動喫煙防止条例 ⏎ → ordinance to prevent passive smoking ⏎ Example sentences ⏎ この地域では条例により路上喫煙が禁止されている。 ⏎ → Street smoking is prohibited in this area by local ordinance. ⏎ 市は新しい条例を制定した。 ⏎ → The city enacted a new ordinance. ⏎ Difference from 法律 ⏎ 法律（ほうりつ） = national law enacted by the Japanese Diet ⏎ 条例（じょうれい） = local ordinance enacted by a prefecture, city, town, or village ⏎  ⏎ For example: ⏎  ⏎ 日本全国に適用 → 法律 ⏎ 神奈川県だけ、横浜市だけに適用 → 条例 ⏎ Vocabulary ⏎ 制定する（せいていする） → enact, establish ⏎ 改正する（かいせいする） → amend, revise ⏎ 施行する（しこうする） → put into effect ⏎  ⏎ A useful way to remember it: ⏎  ⏎ 法律 = national rules ⏎ 条例 = local government rules (prefecture/city/town/village level) | 
連行 | れんこう | taking away; arrest | 容疑者が連行された。 | The suspect was taken away. | 連行される |  | 
運行 | うんこう | operation (trains/buses) | 電車が通常通り運行している。 | Trains are running normally. | 運行状況 |  | 
進行 | しんこう | progress; advancement | 作業が順調に進行している。 | Work is progressing smoothly. | 進行中 |  | 
関与 | かんよ | involvement | 事件への関与を否定した。 | He denied involvement in the case. | 関与疑惑 |  | 
伝来 | でんらい | handed down; tradition | 伝来の技術を守る。 | Preserve traditional techniques. | 伝来文化 | 伝来（でんらい） means to be handed down from the past or to be introduced and transmitted from another place/country over time. ⏎  ⏎ It is a formal word often used in history, culture, religion, arts, and traditional crafts. ⏎  ⏎ Common examples ⏎ 仏教の伝来 ⏎ → the introduction/transmission of Buddhism ⏎ 中国から伝来した文化 ⏎ → culture transmitted from China ⏎ 伝来の品 ⏎ → an heirloom / an item handed down through generations ⏎ 古くから伝来している技術 ⏎ → a technique handed down since ancient times ⏎ Example sentences ⏎ 仏教は6世紀ごろに日本へ伝来した。 ⏎ → Buddhism was introduced to Japan around the 6th century. ⏎ この刀は代々伝来したものです。 ⏎ → This sword has been handed down through the generations. ⏎ 海外から伝来した楽器が日本で独自に発展した。 ⏎ → An instrument introduced from abroad developed uniquely in Japan. ⏎ Related words ⏎ 伝統（でんとう） — tradition ⏎ focuses on the tradition itself ⏎ 継承（けいしょう） — inheritance/succession ⏎ focuses on continuing and inheriting something ⏎ 伝来（でんらい） — transmission/introduction from the past or from elsewhere ⏎ focuses on how something came to be passed down or brought in ⏎  ⏎ For example: ⏎  ⏎ 茶道は日本の伝統です。 ⏎ → Tea ceremony is a Japanese tradition. ⏎ 茶道の精神を継承する。 ⏎ → Inherit/carry on the spirit of tea ceremony. ⏎ 中国から多くの文化が伝来した。 ⏎ → Many cultural elements were introduced from China. | 
搾取 | さくしゅ | exploitation | 労働者が搾取されている。 | Workers are being exploited. | 労働搾取 | 搾取（さくしゅ） means exploitation—taking unfair advantage of someone or something for one's own benefit. ⏎  ⏎ It has a strong negative connotation and is often used in discussions about labor, economics, politics, and social issues. ⏎  ⏎ Basic meaning ⏎ 搾 = to squeeze out ⏎ 取 = to take ⏎  ⏎ So the image is "squeezing value out of someone and taking it." ⏎  ⏎ Common examples ⏎ 労働者を搾取する ⏎ → to exploit workers ⏎ 搾取される ⏎ → to be exploited ⏎ 資源を搾取する ⏎ → to exploit resources ⏎ 搾取構造 ⏎ → exploitative structure/system ⏎ Example sentences ⏎ 彼らは低賃金で労働者を搾取している。 ⏎ → They are exploiting workers through low wages. ⏎ 発展途上国の資源が搾取されてきた。 ⏎ → The resources of developing countries have been exploited. ⏎ 搾取的なビジネスモデルだ。 ⏎ → It's an exploitative business model. ⏎ Nuance ⏎  ⏎ 搾取 implies: ⏎  ⏎ unfairness ⏎ imbalance of power ⏎ one side benefiting at the expense of the other ⏎  ⏎ For example: ⏎  ⏎ 安い給料で長時間働かせる → 搾取 ⏎ 普通の雇用契約 → not 搾取 ⏎ Related words ⏎ 利用（りよう） = use, utilize (neutral) ⏎ 活用（かつよう） = make good use of (positive) ⏎ 悪用（あくよう） = misuse, abuse ⏎ 搾取（さくしゅ） = exploit (strongly negative) ⏎  ⏎ Example contrast: ⏎  ⏎ このソフトを利用する。 ⏎ → Use this software. ⏎ このデータを活用する。 ⏎ → Make effective use of this data. ⏎ 個人情報を悪用する。 ⏎ → Misuse personal information. ⏎ 労働者を搾取する。 ⏎ → Exploit workers. ⏎  ⏎ This is a relatively advanced word and appears frequently in news articles, political commentary, economics, and social discussions. | 
聴取 | ちょうしゅ | hearing; interview | 警察が事情聴取した。 | Police conducted an interview. | 事情聴取 |  | 
反射 | はんしゃ | reflection | 光が反射する。 | Light reflects. | 反射神経 |  | 
反省 | はんせい | reflection; remorse | 自分の行動を反省する。 | Reflect on your actions. | 反省会 |  | 
反響 | はんきょう | echo; reaction | 発表は大きな反響を呼んだ。 | The announcement caused a big reaction. | 反響を呼ぶ |  | 
反発 | はんぱつ | backlash; resistance | 彼の提案に反発が起きた。 | His proposal caused backlash. | 反発力 |  | 
変動 | へんどう | fluctuation | 価格が変動している。 | Prices are fluctuating. | 気候変動 | 変動（へんどう） means fluctuation, change, or variation, especially when something goes up and down over time. ⏎  ⏎ It's commonly used for prices, markets, exchange rates, populations, temperatures, and other quantities that are not stable. ⏎  ⏎ Common examples ⏎ 価格の変動 ⏎ → price fluctuations ⏎ 為替レートの変動 ⏎ → exchange rate fluctuations ⏎ 気温の変動 ⏎ → temperature variation ⏎ 人口の変動 ⏎ → population changes ⏎ Example sentences ⏎ 原油価格が大きく変動している。 ⏎ → Crude oil prices are fluctuating significantly. ⏎ 為替の変動に注意が必要だ。 ⏎ → Care must be taken regarding exchange-rate fluctuations. ⏎ 気温の変動が激しい。 ⏎ → The temperature fluctuates greatly. ⏎ Nuance ⏎  ⏎ 変動 often implies: ⏎  ⏎ continuous or repeated changes ⏎ movement in either direction (up or down) ⏎ uncertainty or instability ⏎  ⏎ For example: ⏎  ⏎ 株価が変動する ⏎ → stock prices fluctuate ⏎ 需要が変動する ⏎ → demand fluctuates ⏎ Difference from similar words ⏎ 変化（へんか） = change in general ⏎ 状況が変化する ⏎ The situation changes. ⏎ 変動（へんどう） = fluctuation, often quantitative and up/down ⏎ 株価が変動する ⏎ Stock prices fluctuate. ⏎ 増減（ぞうげん） = increase and decrease ⏎ 売上の増減 ⏎ Changes in sales volume. ⏎ Example contrast ⏎ 社会は変化している。 ⏎ → Society is changing. ⏎ 株価は日々変動している。 ⏎ → Stock prices fluctuate daily. ⏎  ⏎ A useful way to remember it: ⏎  ⏎ 変化 = change ⏎ 変動 = fluctuation (especially up-and-down movement over time). | 
異動 | いどう | personnel transfer | 彼は大阪支社に異動した。 | He was transferred to the Osaka branch. | 人事異動 |  | 
移動 | いどう | movement; transfer | 車で移動する。 | Travel by car. | 移動手段 |  | 
作動 | さどう | operation; functioning | 機械が正常に作動している。 | The machine is operating normally. | 自動作動 |  | 
分割 | ぶんかつ | division; split | 支払いを分割にする。 | Pay in installments. | 分割払い | 分割（ぶんかつ） means division, splitting, or breaking something into parts. ⏎  ⏎ Unlike 分配, which focuses on allocating shares to people/groups, 分割 focuses on dividing something itself into smaller pieces or sections. ⏎  ⏎ Common examples ⏎ ファイルを分割する ⏎ → to split a file ⏎ 画面を分割する ⏎ → to split the screen ⏎ 会社を分割する ⏎ → to split a company ⏎ 分割払い ⏎ → installment payments ⏎ 国土の分割 ⏎ → division of territory ⏎ Example sentences ⏎ 大きなファイルを複数に分割した。 ⏎ → I split the large file into several smaller ones. ⏎ 支払いは分割でも可能です。 ⏎ → Payment by installments is also possible. ⏎ 会社は二つの事業部に分割された。 ⏎ → The company was divided into two business units. ⏎ Difference from similar words ⏎ Word	Meaning	Focus ⏎ 分ける	to divide/separate	General everyday word ⏎ 分割	to split into parts	The object itself is divided ⏎ 分配	to distribute/allocate	Who receives each share ⏎ 区分	classification/partition	Categorizing into sections ⏎  ⏎ Examples: ⏎  ⏎ ケーキを分ける。 ⏎ → Divide the cake. ⏎ ケーキを8等分に分割する。 ⏎ → Split the cake into 8 equal pieces. ⏎ ケーキを子供たちに分配する。 ⏎ → Distribute the cake to the children. ⏎ Useful business/IT uses ⏎ データ分割 → data partitioning ⏎ 画面分割 → split screen ⏎ 株式分割 → stock split ⏎ 分割統治 → divide and rule ⏎  ⏎ A good mnemonic: ⏎  ⏎ 分割 = split the thing itself into parts ⏎ 分配 = distribute the parts to people | 
分別 | ぶんべつ | sorting; separation | ゴミを分別する。 | Sort the trash. | 分別回収 |  | 
分配 | ぶんぱい | distribution | 利益を分配する。 | Distribute the profits. | 分配率 | 分配（ぶんぱい） means distribution, allocation, or apportionment—dividing something and giving portions to different people, groups, or purposes. ⏎  ⏎ Common examples ⏎ 利益を分配する ⏎ → to distribute profits ⏎ 資源を分配する ⏎ → to allocate resources ⏎ 食料を分配する ⏎ → to distribute food ⏎ 仕事を分配する ⏎ → to divide up work ⏎ Nuance ⏎  ⏎ 分配 emphasizes that something is being divided into shares and assigned. ⏎  ⏎ Compare: ⏎  ⏎ 配る（くばる） = to hand out, distribute physically ⏎ 分ける（わける） = to divide/split ⏎ 分配する = to allocate/distribute shares according to some plan or rule ⏎ Example sentences ⏎ 会社は利益を社員に分配した。 ⏎ → The company distributed its profits to its employees. ⏎ 限られた予算を各部署に分配する。 ⏎ → Allocate the limited budget among the departments. ⏎ 食料が公平に分配された。 ⏎ → The food was distributed fairly. | 
分裂 | ぶんれつ | split; division | 組織が分裂した。 | The organization split. | 内部分裂 | 分裂（ぶんれつ） means splitting, division, rupture, or schism. ⏎  ⏎ Unlike 分割, which is often a neutral act of dividing something into parts, 分裂 frequently implies that something that was once united has broken apart, often with conflict or separation. ⏎  ⏎ Common uses ⏎ Politics / Organizations ⏎ 政党が分裂する ⏎ → a political party splits ⏎ 組織が分裂する ⏎ → an organization breaks apart ⏎  ⏎ Example: ⏎  ⏎ 意見の対立により党が分裂した。 ⏎ → The party split due to disagreements. ⏎ Groups / Relationships ⏎ チームが分裂する ⏎ → the team breaks into factions ⏎ 仲間が分裂する ⏎ → the group falls apart ⏎  ⏎ Example: ⏎  ⏎ リーダーを巡る対立でチームが分裂した。 ⏎ → The team split over a dispute about leadership. ⏎ Biology ⏎ 細胞分裂（さいぼうぶんれつ） ⏎ → cell division ⏎  ⏎ This is one of the most common compounds using 分裂. ⏎  ⏎ Example sentences ⏎ その組織は内部対立によって分裂した。 ⏎ → The organization split due to internal conflict. ⏎ 細胞分裂によって生物は成長する。 ⏎ → Organisms grow through cell division. ⏎ グループが二派に分裂した。 ⏎ → The group split into two factions. ⏎ Difference from similar words ⏎ Word	Meaning	Nuance ⏎ 分ける	divide	General ⏎ 分割	split into parts	Neutral, planned ⏎ 分配	distribute shares	Focus on recipients ⏎ 分裂	break apart	Often conflict, rupture, separation ⏎  ⏎ Compare: ⏎  ⏎ 会社を二つの事業部に分割する。 ⏎ → Divide a company into two divisions. (neutral/planned) ⏎ 会社が内部対立で分裂する。 ⏎ → The company splits apart due to internal conflict. (negative) ⏎ Easy way to remember ⏎  ⏎ 分割 = divide something into pieces ⏎ 分裂 = something united breaks apart ⏎  ⏎ That's why 分裂 often carries a stronger, more dramatic feeling than 分割. | 
指摘 | してき | pointing out | 誤りを指摘された。 | My mistake was pointed out. | 問題指摘 |  | 
恩師 | おんし | respected teacher | 恩師に会いに行った。 | I went to see my former teacher. | 恩師の教え |  | 
感銘 | かんめい | deep impression | 彼の話に感銘を受けた。 | I was deeply impressed by his story. | 感銘を与える |  | 
自立 | じりつ | independence | 若者は自立すべきだ。 | Young people should be independent. | 自立心 |  | 
樹立 | じゅりつ | establishment | 新記録を樹立した。 | A new record was set. | 記録樹立 | 樹立（じゅりつ） means to establish, to set up, or to create firmly something important, formal, or enduring. ⏎  ⏎ It's a formal word often used in news, business, politics, sports, and diplomacy. ⏎  ⏎ Common collocations ⏎ 記録を樹立する ⏎ → to set a record ⏎ 新記録を樹立する ⏎ → to establish a new record ⏎ 外交関係を樹立する ⏎ → to establish diplomatic relations ⏎ 体制を樹立する ⏎ → to establish a system/regime ⏎ 地位を樹立する ⏎ → to establish a position/status ⏎ Examples ⏎ 彼は世界新記録を樹立した。 ⏎ → He set a new world record. ⏎ 両国は外交関係を樹立した。 ⏎ → The two countries established diplomatic relations. ⏎ 業界で確固たる地位を樹立した。 ⏎ → They established a solid position in the industry. ⏎ Comparison with 設立（せつりつ） ⏎ 設立 = establish an organization/company ⏎ 会社を設立する ⏎ 学校を設立する ⏎ 樹立 = establish something more abstract, prestigious, or institutional ⏎ 記録を樹立する ⏎ 外交関係を樹立する ⏎ 体制を樹立する ⏎  ⏎ A useful image is that 樹立 literally contains the character for "tree" (樹), giving the sense of planting something firmly and making it stand. It's much more formal than everyday 「作る」 or 「設ける」. | 
成立 | せいりつ | establishment; conclusion | 契約が成立した。 | The contract was finalized. | 成立条件 | 成立（せいりつ） means to be established, to come into effect, to be concluded, or to be successfully formed, depending on the context. ⏎  ⏎ The core idea is: ⏎  ⏎ "something comes together successfully and becomes valid or complete." ⏎  ⏎ Common uses ⏎ 1. Laws, bills, agreements ⏎ 法案が成立する ⏎ → a bill passes / becomes law ⏎ 契約が成立する ⏎ → a contract is concluded ⏎ 交渉が成立する ⏎ → negotiations are successfully concluded ⏎  ⏎ Example: ⏎  ⏎ 国会で法案が成立した。 ⏎ → The bill passed in the Diet. ⏎ 2. Conditions being met ⏎ 条件が成立する ⏎ → conditions are satisfied ⏎ この理論は成立しない。 ⏎ → This theory doesn't hold up / isn't valid. ⏎  ⏎ Example: ⏎  ⏎ この場合、その仮説は成立しない。 ⏎ → In this case, that hypothesis is not valid. ⏎ 3. Relationships, situations ⏎ 結婚が成立する ⏎ → a marriage is legally established ⏎ ビジネスが成立する ⏎ → a business deal works out / becomes viable ⏎  ⏎ Example: ⏎  ⏎ 双方が合意すれば契約が成立します。 ⏎ → The contract is concluded once both parties agree. ⏎ Difference from similar words ⏎ 設立（せつりつ） ⏎ establish an organization ⏎ 会社を設立する ⏎ 樹立（じゅりつ） ⏎ establish something prestigious/formal ⏎ 記録を樹立する ⏎ 成立（せいりつ） ⏎ become valid, complete, or successfully formed ⏎ 契約が成立する ⏎ 法案が成立する ⏎ Example sentences ⏎ 契約は昨日成立しました。 ⏎ → The contract was concluded yesterday. ⏎ この理論は十分に成立している。 ⏎ → This theory is well-founded. ⏎ 条件が成立すれば実施します。 ⏎ → We will proceed if the conditions are met. ⏎  ⏎ A useful way to remember it: ⏎  ⏎ 成立 = "to come into force / become valid / successfully come together." | 
給食 | きゅうしょく | school lunch | 給食がおいしい。 | The school lunch is good. | 給食センター |  | 
献立 | こんだて | menu | 今日の献立はカレーだ。 | Today’s menu is curry. | 献立表 |  | 
手薄 | てうす | understaffed; insufficient | 現場は手薄になっている。 | The site is understaffed. | 手薄な体制 |  | 
脱獄 | だつごく | prison break | 囚人が脱獄した。 | A prisoner escaped. | 脱獄犯 |  | 
人質 | ひとじち | hostage | 人質が救出された。 | The hostage was rescued. | 人質事件 |  | 
むやみに | むやみに | recklessly; blindly | むやみにお金を使うな。 | Don’t spend money recklessly. | むやみに増やす |  | 
図星 | ずぼし | bull’s‑eye; exactly right | 彼の指摘は図星だった。 | His remark hit the mark. | 図星を突く |  | 
突く | つく | to poke; to stab; to thrust | 胸を突かれたような気持ちだ。 | It felt like being struck in the chest. | 胸を突く言葉 |  | 
獲物 | えもの | prey | 猫が獲物を追っている。 | The cat is chasing its prey. | 獲物を狙う |  | 
問屋 | とんや | wholesale store | 問屋から商品を仕入れる。 | Buy goods from a wholesaler. | 問屋街 |  | 
仕入 | しいれ | purchasing; stocking | 新商品を仕入れた。 | We stocked new products. | 仕入れ先 | Examples ⏎ 新しい商品を仕入れた。 ⏎ → We have stocked/purchased new products. ⏎ 海外から原材料を仕入れている。 ⏎ → We procure raw materials from overseas. ⏎ 仕入れ価格 ⏎ → purchase cost / wholesale cost ⏎ Common vocabulary ⏎ 仕入れる（しいれる） ⏎ → to purchase stock, procure ⏎ 仕入れ先 ⏎ → supplier, vendor ⏎ 仕入れ価格 ⏎ → purchase price ⏎ 仕入れコスト ⏎ → procurement cost ⏎ Example sentences ⏎ この店は地元の農家から野菜を仕入れている。 ⏎ → This store procures vegetables from local farmers. ⏎ 円安で仕入れコストが上昇した。 ⏎ → Procurement costs increased due to the weak yen. ⏎ Difference from buying in general ⏎ 買う ⏎ → to buy (general) ⏎ 購入する ⏎ → to purchase (formal) ⏎ 仕入れる ⏎ → to buy for resale, production, or business operations ⏎  ⏎ For example: ⏎  ⏎ スーパーで牛乳を買う。 ⏎ → Buy milk at a supermarket. ⏎ 店が牛乳を仕入れる。 ⏎ → The store purchases milk from a supplier to sell to customers. ⏎ Easy way to remember ⏎  ⏎ 仕入れ = business purchasing / stocking inventory ⏎ 買う = ordinary buying. | 
貝殻 | かいがら | seashell | 砂浜で貝殻を拾った。 | I picked up seashells on the beach. | 貝殻集め |  | 
砂浜 | すなはま | sandy beach | 砂浜を歩く。 | Walk on the sandy beach. | 砂浜の景色 |  | 
小銭 | こぜに | small change | 小銭が足りない。 | I don’t have enough change. | 小銭入れ |  | 
