窮屈 | narrow, tight, cramped, constraint | きゅうくつ | 部屋が窮屈に感じる。 | Room feels cramped
幼い頃 | childhood, when young | おさないころ | 幼い頃の思い出がよみがえった。 | Memories from childhood came back
信仰 | faith, belief | しんこう | 彼は強い信仰を持っている。 | He has strong religious faith
統率 | leadership, command | とうそつ | 彼には統率力がある。 | He has strong leadership ability
務む | to serve, to act as | つとむ | 彼は委員長を務めている。 | He serves as the committee chair
部員 | club member | ぶいん | 部員が増えてきた。 | The number of club members has increased
掲載 | publication, posting | けいさい | 記事が新聞に掲載された。 | The article was published in the newspaper
連日 | day after day, every day | れんじつ | 連日暑い日が続いている。 | Hot days continue day after day
疲労 | fatigue, exhaustion | ひろう | 疲労が蓄積している。 | Fatigue is building up
蓄積 | accumulation | ちくせき | ストレスが蓄積している。 | Stress is accumulating
彫刻 | sculpture, carving | ちょうこく | 美しい彫刻が展示されている。 | Beautiful sculptures are on display
連帯保証人 | joint guarantor | れんたいほしょうにん | 彼は友人の連帯保証人になった。 | He became a joint guarantor for his friend
勘弁 | mercy, forgiveness, “give me a break” | かんべん | それ以上は勘弁してくれ。 | Give me a break already
救済 | relief, aid, rescue | きゅうさい | 被災者の救済が急がれている。 | Relief for disaster victims is urgently needed
復興 | reconstruction, recovery | ふっこう | 地震後の復興が進んでいる。 | Reconstruction after the earthquake is progressing
被災 | disaster damage, being affected | ひさい | 多くの家が被災した。 | Many homes were damaged by the disaster
演奏 | musical performance | えんそう | 彼のピアノ演奏は素晴らしい。 | His piano performance is wonderful
交友関係 | friendships, social connections | こうゆうかんけい | 彼は交友関係が広い。 | He has a wide social circle
干渉 | interference, meddling | かんしょう | 他人の生活に干渉すべきではない。 | You shouldn’t interfere in others’ lives
被災地 | disaster area | ひさいち | 被災地に支援物資を送った。 | Supplies were sent to the disaster area
飲料水 | drinking water | いんりょうすい | 飲料水が不足している。 | Drinking water is in short supply
欠乏 | shortage, lack | けつぼう | 食料が欠乏している。 | Food is in short supply
束縛 | restriction, restraint, being tied down | そくばく | 束縛されるのが嫌いだ。 | I dislike being restricted
変遷 | transition, change over time | へんせん | 社会の変遷を研究している。 | I study the transitions of society over time
迎える | to welcome, to greet, to approach (time/event) | むかえる | 新しい年を迎える。 | We welcome the new year
隠居 | retirement, retired life | いんきょ | 彼は田舎で隠居生活を送っている。 | He lives a retired life in the countryside
理念 | principle, philosophy, ideal | りねん | 会社の理念を共有することが大切だ。 | It’s important to share the company’s principles
共鳴 | resonance, sympathy, agreement | きょうめい | 彼の考えに共鳴した。 | I resonated with his ideas
捜査 | investigation (criminal) | そうさ | 警察が事件を捜査している。 | The police are investigating the case
類推 | analogy, inference | るいすい | 過去の例から類推して判断した。 | I judged by inferring from past cases
成立 | establishment, conclusion, coming into effect | せいりつ | 条約が成立した。 | The treaty was concluded
交渉 | negotiation | こうしょう | 価格について交渉した。 | We negotiated the price
麻痺 | paralysis, numbness, dysfunction | まひ | 交通が麻痺している。 | Traffic is paralyzed
週刊誌 | weekly magazine | しゅうかんし | 週刊誌の記事が話題になっている。 | An article in a weekly magazine is causing a stir
執筆 | writing (as a job), authoring | しっぴつ | 彼は本の執筆を始めた。 | He started writing a book
困難 | difficulty, hardship | こんなん | 困難を乗り越えた。 | I overcame difficulties
症 | symptom, condition | しょう | この症は治療が必要だ。 | This condition requires treatment
克服 | overcoming, conquering | こくふく | 恐怖を克服した。 | I overcame my fear
考慮 | consideration | こうりょ | 全ての要素を考慮して決めた。 | I decided after considering all factors
促進 | promotion, acceleration | そくしん | 経済の促進を図る。 | Promote economic growth
広告を打つことにした | decided to run an advertisement | こうこくをうつことにした | 新商品を宣伝するため広告を打つことにした。 | We decided to run an ad to promote the new product
沈黙 | silence | ちんもく | 彼は沈黙を守った。 | He remained silent
奉仕 | service, volunteer work | ほうし | 奉仕活動に参加した。 | I participated in volunteer work
吟味 | scrutiny, careful examination | ぎんみ | 材料を吟味して選んだ。 | I carefully examined and selected the ingredients
電卓 | calculator | でんたく | 電卓で計算した。 | I calculated it with a calculator
暗算 | mental calculation | あんざん | 彼は暗算が得意だ。 | He is good at mental math
活躍 | active success, playing an active role | かつやく | 彼はチームで大活躍した。 | He played a major role on the team
欠如 | lack, absence | けつじょ | 彼には責任感が欠如している。 | He lacks a sense of responsibility
繫盛 | prosperity, thriving business | はんじょう | この店はいつも繫盛している。 | This shop is always thriving
奨励 | encouragement, promotion | しょうれい | 読書を奨励している。 | They encourage reading
動揺 | agitation, unrest, emotional upset | どうよう | 彼の発言に動揺が広がった。 | His remark caused unrest
修飾 | modification, decoration (grammar: adjective modifying noun) | しゅうしょく | 名詞を修飾する言葉を学んだ。 | We learned words that modify nouns
委託 | entrustment, outsourcing | いたく | 業務を外部の会社に委託した。 | We outsourced the work to an external company
処罰 | punishment, penalty | しょばつ | 規則違反者を処罰する。 | Violators of the rules will be punished
耐え難い | unbearable, intolerable | たえがたい | この暑さは耐え難い。 | This heat is unbearable
侮辱 | insult, contempt | ぶじょく | 彼は侮辱されたと感じた。 | He felt insulted
偽造 | forgery, falsification | ぎぞう | 偽造パスポートが見つかった。 | A forged passport was found
模索 | search, exploration, seeking | もさく | 解決策を模索している。 | We are searching for a solution
孤立 | isolation, being alone | こりつ | 彼は職場で孤立している。 | He is isolated at work
執着 | attachment, obsession | しゅうちゃく | 彼は結果に執着しすぎている。 | He is too obsessed with the results
順応 | adaptation, adjustment | じゅんのう | 新しい環境に順応した。 | I adapted to the new environment
忍耐 | patience, endurance | にんたい | 忍耐が成功の鍵だ。 | Patience is the key to success
奪う | to take away, to rob | うばう | 事故が彼の命を奪った。 | The accident took his life
領土 | territory | りょうど | 国同士が領土を争っている。 | The countries are disputing territory
返還 | return, restitution | へんかん | 土地の返還を求めている。 | They are demanding the return of the land
示唆 | suggestion, implication | しさ | 彼の発言は問題の存在を示唆している。 | His remark suggests the existence of a problem
卑下 | self‑deprecation, belittling oneself | ひげ | 自分を卑下する必要はない。 | You don’t need to belittle yourself
軽蔑 | contempt, disdain | けいべつ | 彼は軽蔑の目で見られた。 | He was looked at with contempt
解剖 | dissection, autopsy | かいぼう | 死因を調べるため解剖が行われた。 | An autopsy was performed to determine the cause of death
墜落 | crash, fall | ついらく | 飛行機が墜落した。 | The plane crashed
死者 | the dead, casualties | ししゃ | 事故で多くの死者が出た。 | Many people died in the accident
配慮 | consideration, thoughtfulness | はいりょ | 他人への配慮が大切だ。 | Consideration for others is important
遭難 | distress, being stranded | そうなん | 山で遭難した。 | I got stranded in the mountains
整頓 | tidying, organizing | せいとん | 部屋を整頓した。 | I organized the room
机 | desk | つくえ | 新しい机を買った。 | I bought a new desk
デング熱 | dengue fever | でんぐねつ | デング熱の感染が広がっている。 | Dengue fever infections are spreading
媒介 | transmission, vector | ばいかい | 蚊が病気を媒介する。 | Mosquitoes transmit the disease
伝染 | infection, contagion | でんせん | 伝染の危険がある。 | There is a risk of infection
言い合い | argument, quarrel | いいあい | 些細なことで言い合いになった。 | We argued over something trivial
興奮 | excitement, agitation | こうふん | 彼は興奮して話していた。 | He was speaking excitedly
披露 | announcement, unveiling, presentation | ひろう | 新製品が披露された。 | The new product was unveiled
摩擦 | friction, conflict | まさつ | 意見の違いから摩擦が生じた。 | Friction arose due to differing opinions
訴訟 | lawsuit, litigation | そしょう | 会社は訴訟を起こされた。 | The company was sued
汚染 | pollution, contamination | おせん | 川の汚染が深刻だ。 | The river pollution is severe
条例 | ordinance, regulation | じょうれい | 市は新しい条例を制定した。 | The city enacted a new ordinance
施行 | enforcement, implementation | しこう | 新しい法律が施行された。 | The new law was put into effect
削減 | reduction, cut | さくげん | 経費を削減する必要がある。 | We need to reduce expenses
蒸留 | distillation | じょうりゅう | 水を蒸留して純度を高めた。 | The water was distilled to increase purity
行程 | process, itinerary, steps | こうてい | 製造行程を見直した。 | We reviewed the manufacturing process
酸化 | oxidation | さんか | 金属が酸化して錆びた。 | The metal oxidized and rusted
食糧 | food supplies | しょくりょう | 食糧が不足している。 | Food supplies are running short
餓死 | starvation, dying of hunger | がし | 多くの人が餓死寸前だった。 | Many people were on the verge of starvation
寸前 | just before, on the verge of | すんぜん | 事故寸前で止まった。 | It stopped just before an accident
追い詰められた | cornered, pressured | おいつめられた | 彼は状況に追い詰められていた。 | He was cornered by the situation
均衡 | balance, equilibrium | きんこう | 需要と供給の均衡が重要だ。 | The balance between supply and demand is important
保つ（保った） | to maintain, to keep | たもつ（たもった） | 彼は冷静さを保った。 | He maintained his composure
募る | to recruit, to gather, to intensify | つのる | ボランティアを募っている。 | They are recruiting volunteers
葬式 | funeral | そうしき | 彼の葬式に参列した。 | I attended his funeral
葬る | to bury, to entomb | ほうむる | 亡くなった人を墓に葬った。 | They buried the deceased in a grave
潜る | to dive, to go underwater, to go through | もぐる | 海に潜って魚を見た。 | I dove into the sea and saw fish
手をつけていない | untouched, not started | てをつけていない | 宿題はまだ手をつけていない。 | I haven’t started my homework yet
遮る | to block, to interrupt | さえぎる | 彼の話を遮ってはいけない。 | Don’t interrupt his speech
例年 | every year, annually | れいねん | 例年より暑い。 | It’s hotter than in a typical year
劣っている | inferior, lacking | おとっている | 彼の体力は他の選手より劣っている。 | His stamina is inferior to the other players
大都市 | major city, metropolis | だいとし | 東京は世界有数の大都市だ。 | Tokyo is one of the world’s major cities
偏る | to be biased, to lean, to be unbalanced | かたよる | 栄養が偏っている。 | My nutrition is unbalanced
巡る | to go around, to revolve, to concern | めぐる | 環境問題を巡って議論が続いている。 | Debates continue over environmental issues
悟る | to realize, to understand deeply | さとる | 彼は真実を悟った。 | He realized the tru
携わる | to be involved in, to engage in | たずさわる | 彼は教育に携わっている。 | He is involved in education
帯びる | to carry, to take on (a quality) | おびる | 彼の声は怒りを帯びていた。 | His voice carried a tone of anger
色っぽい | sexy, charming, seductive | いろっぽい | 彼女は色っぽい雰囲気がある。 | She has a seductive aura
化粧品 | cosmetics | けしょうひん | 新しい化粧品を試した。 | I tried new cosmetics
勧める | to recommend | すすめる | 彼にこの本を勧めた。 | I recommended this book to him
夕焼け | sunset glow | ゆうやけ | 夕焼けがとても美しい。 | The sunset glow is beautiful
眺める | to gaze at, to look at | ながめる | 海を眺めていた。 | I was gazing at the sea
化粧水 | toner, skin lotion | けしょうすい | 化粧水で肌を整える。 | I condition my skin with toner
保湿 | moisturizing | ほしつ | 冬は保湿が大切だ。 | Moisturizing is important in winter
美白 | skin whitening, brightening | びはく | 美白効果のあるクリームを使う。 | I use a cream with brightening effects
兼ねる | to serve two functions, to combine | かねる | この部屋は寝室と書斎を兼ねている。 | This room serves as both a bedroom and a study
隔てる | to separate, to divide | へだてる | 壁が二つの部屋を隔てている。 | A wall separates the two rooms
省みる | to reflect on oneself | かえりみる | 自分の行動を省みる。 | I reflect on my actions
顧みる | to look back on, to consider | かえりみる | 過去を顧みても仕方がない。 | There’s no point in looking back on the past
税金 | taxes | ぜいきん | 税金を納めるのは義務だ。 | Paying taxes is a duty
納める | to pay, to deliver, to store | おさめる | 期限までに税金を納めた。 | I paid my taxes before the deadline
義務 | duty, obligation | ぎむ | 投票は国民の義務だ。 | Voting is a citizen’s duty
尽くす | to devote, to do one’s best | つくす | 彼は全力を尽くした。 | He gave it his all
潤う | to become moist, to prosper | うるおう | 雨で土地が潤った。 | The land was moistened by the rain
漂う | to drift, to float, to waft | ただよう | 花の香りが部屋に漂う。 | The scent of flowers drifts through the room
慕う | to adore, to long for | したう | 子どもたちは先生を慕っている。 | The children adore their teacher
犯する | to commit (a crime or mistake) | おかす | 彼は重大な罪を犯した。 | He committed a serious crime
罪 | crime, sin | つみ | 罪を償う必要がある。 | One must atone for their crimes
謝罪 | apology | しゃざい | 彼は正式に謝罪した。 | He apologized formally
償う | to make up for, to compensate | つぐなう | 彼は過ちを償おうとしている。 | He is trying to make up for his mistakes
賄う | to cover (expenses), to provide | まかなう | 生活費をアルバイトで賄っている。 | I cover my living expenses with a part‑time job
